Algorithm,Evaluation Metric,Dataset Condition,Rank,Distance Metric,Average Score
KNN,Accuracy,Imbalanced (High Imbalance),2,braycurtis,0.8382
KNN,Accuracy,Imbalanced (High Imbalance),3,manhattan,0.8359
KNN,Accuracy,Size: High Rows,1,canberra,0.8063
KNN,Accuracy,Size: High Rows,2,braycurtis,0.803
KNN,Accuracy,Size: High Rows,3,manhattan,0.8025
KNN,Accuracy,Size: Low Rows,1,canberra,0.8157
KNN,Accuracy,Size: Low Rows,2,braycurtis,0.8068
KNN,Accuracy,Size: Low Rows,3,manhattan,0.8036
KNN,Accuracy,Size: Medium Rows,1,braycurtis,0.6652
KNN,Accuracy,Size: Medium Rows,2,canberra,0.6643
KNN,Accuracy,Size: Medium Rows,3,manhattan,0.6623
KNN,F1 Score,Balanced (Low Imbalance),1,canberra,0.6761
KNN,F1 Score,Balanced (Low Imbalance),2,braycurtis,0.6741
KNN,F1 Score,Balanced (Low Imbalance),3,manhattan,0.6719
KNN,F1 Score,Features: High Columns,1,braycurtis,0.8281
KNN,F1 Score,Features: High Columns,2,canberra,0.8281
KNN,F1 Score,Features: High Columns,3,manhattan,0.8236
KNN,F1 Score,Features: Low Columns,1,manhattan,0.6241
KNN,F1 Score,Features: Low Columns,2,braycurtis,0.6236
KNN,F1 Score,Features: Low Columns,3,canberra,0.6203
KNN,F1 Score,Features: Medium Columns,1,canberra,0.8116
KNN,F1 Score,Features: Medium Columns,2,jensen_shannon,0.8093
KNN,F1 Score,Features: Medium Columns,3,bhattacharyya,0.8078
KNN,F1 Score,Imbalanced (High Imbalance),1,canberra,0.8305
KNN,F1 Score,Imbalanced (High Imbalance),2,braycurtis,0.8254
KNN,F1 Score,Imbalanced (High Imbalance),3,manhattan,0.8228
KNN,F1 Score,Size: High Rows,1,canberra,0.8002
KNN,F1 Score,Size: High Rows,2,braycurtis,0.7946
KNN,F1 Score,Size: High Rows,3,manhattan,0.7938
KNN,F1 Score,Size: Low Rows,1,canberra,0.8063
KNN,F1 Score,Size: Low Rows,2,braycurtis,0.7987
KNN,F1 Score,Size: Low Rows,3,manhattan,0.7948
KNN,F1 Score,Size: Medium Rows,1,braycurtis,0.6559
KNN,F1 Score,Size: Medium Rows,2,canberra,0.6534
