Dataset,Category,Algorithm,Metric Type,Distance Metric,Accuracy,Precision,Recall,F1 Score,Silhouette Score,Davies-Bouldin Score,Calinski-Harabasz Score,Adjusted Rand Index,Normalized Mutual Info
Heart_disease_lr_mc.csv,balanced,SVM,Probabilistic,earth_movers,0.7952459016393443,0.7992659253963772,0.7952459016393443,0.7944437071518233,,,,,
Heart_disease_lr_mc.csv,balanced,K-Medoids,Probabilistic,earth_movers,,,,,0.4740691770278052,1.006125858826188,268.22681565178823,0.22016588459867273,0.17212411418560777
Heart_disease_lr_mc.csv,balanced,DBSCAN,Probabilistic,earth_movers,,,,,0.2352810619661406,0.794486458622995,6.527713970333797,0.0024615353701089994,0.014173564822236015
Heart_disease_lr_mc.csv,balanced,KNN,Probabilistic,kl_divergence,0.8120218579234972,0.8190623436010993,0.8120218579234972,0.8103111916975866,,,,,
Heart_disease_lr_mc.csv,balanced,SVM,Probabilistic,kl_divergence,0.8449180327868853,0.8477859149448047,0.8449180327868853,0.8441190941683517,,,,,
Heart_disease_lr_mc.csv,balanced,K-Medoids,Probabilistic,kl_divergence,,,,,0.3083155354100702,1.6002745885756255,102.09920095521574,0.05492034470122402,0.04516632580008182
Heart_disease_lr_mc.csv,balanced,DBSCAN,Probabilistic,kl_divergence,,,,,,,,,
Heart_disease_lr_mc.csv,balanced,KNN,Probabilistic,jensen_shannon,0.8251912568306011,0.8317079192423883,0.8251912568306011,0.8241527280677428,,,,,
Heart_disease_lr_mc.csv,balanced,SVM,Probabilistic,jensen_shannon,0.8283060109289616,0.8326554382951118,0.8283060109289616,0.8273814725742673,,,,,
Heart_disease_lr_mc.csv,balanced,K-Medoids,Probabilistic,jensen_shannon,,,,,0.1842150722574064,1.158218688261762,199.6712152528864,0.22016924330530416,0.16982992903616742
Heart_disease_lr_mc.csv,balanced,DBSCAN,Probabilistic,jensen_shannon,,,,,,,,,
Heart_disease_lr_mc.csv,balanced,KNN,Probabilistic,bhattacharyya,0.8152459016393443,0.8183286671231544,0.8152459016393443,0.8141424464017544,,,,,
Heart_disease_lr_mc.csv,balanced,SVM,Probabilistic,bhattacharyya,0.8415300546448087,0.8445097935760323,0.8415300546448087,0.8407976105258855,,,,,
Heart_disease_lr_mc.csv,balanced,K-Medoids,Probabilistic,bhattacharyya,,,,,0.33321583211699446,1.7894088524218548,82.56694558643667,0.02975795119783717,0.02405362104365703
Heart_disease_lr_mc.csv,balanced,DBSCAN,Probabilistic,bhattacharyya,,,,,,,,,
Heart_disease_lr_mc.csv,balanced,KNN,Probabilistic,total_variation,0.8153005464480874,0.8200461966288637,0.8153005464480874,0.8141747366915923,,,,,
Heart_disease_lr_mc.csv,balanced,SVM,Probabilistic,total_variation,0.8250819672131147,0.8269631689762054,0.8250819672131147,0.8243404695898308,,,,,
Heart_disease_lr_mc.csv,balanced,K-Medoids,Probabilistic,total_variation,,,,,0.377981961680928,0.9236268314174455,326.36273403399406,0.3468462203599229,0.269443567678253
Heart_disease_lr_mc.csv,balanced,DBSCAN,Probabilistic,total_variation,,,,,0.09684548279449787,1.129159812794838,0.6827806234797239,0.0011871137356297711,0.007243405287056697
vehicle_lr_hc.csv,balanced,KNN,Geometric,euclidean,0.8905248807089297,0.892848816093671,0.8905248807089297,0.8908096044901861,,,,,
vehicle_lr_hc.csv,balanced,SVM,Geometric,euclidean,0.944618647277134,0.95102071216903,0.944618647277134,0.9453217522891812,,,,,
